"fingerprint","signature","linter","filename","message","source","occurrence","baseline_line","baseline_column","review_step","disposition"
"d0b2490f2cea99c873497abf3e739ae7","4c78d17cd37d61423225d308bb77e2d4","indentation_linter","inst/scripts/audit-coverage-gate.R","Indentation should be 8 spaces but is 6 spaces.","      !identical(budget$blocking[[1L]], TRUE) ||",1,72,6,"049","approved_style_debt"
"66c04a978121a628087b98237ca5814c","0cd3aea83cbddf6e1b493c462edfea31","indentation_linter","inst/scripts/audit-coverage-gate.R","Indentation should be 8 spaces but is 6 spaces.","      !isTRUE(all.equal(percent, 100 * numerator / denominator, tolerance = 1e-12))) {",1,68,6,"049","approved_style_debt"
"2ecd01fd43013dce1ee85ce48b39aa93","9637205286b46e8e9553419e28093071","indentation_linter","inst/scripts/audit-coverage-gate.R","Indentation should be 8 spaces but is 6 spaces.","      file.info(coverage_html)$size <= 0) {",1,206,6,"049","approved_style_debt"
"e3ad89ca61b758a05609223348922b15","d0e48f10da87e8f4e6262ede2beb7288","indentation_linter","inst/scripts/audit-coverage-gate.R","Indentation should be 8 spaces but is 6 spaces.","      is.na(integer) || number != integer || number < lower) {",1,84,6,"049","approved_style_debt"
"68f73091945d5664166660ac4deff274","e4e2e0c3d296819dc422678ba31f6477","indentation_linter","inst/scripts/audit-coverage-gate.R","Indentation should be 8 spaces but is 6 spaces.","      numerator < 1 || denominator < 1 || numerator > denominator) {",1,64,6,"049","approved_style_debt"
"5e62e836aea34c19ec5ebb6094511071","09824f4717b1754132ced845c256d5ce","line_length_linter","inst/scripts/audit-smoothing-simulation.R","Lines should not be more than 120 characters. This line is 122 characters.","      max(stratum_coverage_increase) <= criteria$threshold[criteria$criterion == ""worst_stratum_coverage_error_increase""],",1,349,121,"049","approved_style_debt"
"8fd22b3bdf00be5e8c2bf25181db828e","dbf690be1469ed683c34488bf0647937","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 10 spaces but is 8 spaces.","        !is.finite(seed_number) || is.na(seed_integer) ||",1,686,8,"049","approved_style_debt"
"43807ae3277c08ba1a42e9c6e0e8cb05","0b3b80d0d3201171adf5770133dcad72","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 10 spaces but is 8 spaces.","        (numeric_skips[[i]] != 0L || length(allowed))) {",1,350,8,"049","approved_style_debt"
"8b04f1f5f78ec2d815e405680ba58720","bff4ce1dd4604c7000b7b838787e199a","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 10 spaces but is 8 spaces.","        any(!nzchar(as.character(timing_baseline[[column]])))) {",1,216,8,"049","approved_style_debt"
"d390f0284396428056994e66ff740e62","2604e524ce95d4da68ff055051e81c10","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 10 spaces but is 8 spaces.","        any(!nzchar(as.character(timing_budget[[column]])))) {",1,209,8,"049","approved_style_debt"
"46d2d425828d5016b001a066fa0fa401","1781b4436f65c715d1c0d12fc52ed719","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 12 spaces but is 10 spaces.","          !identical(taxonomy_row$optional_dependency[[1L]], row$dependency[[1L]])) {",1,372,10,"049","approved_style_debt"
"2abeb2d2fb8cf8084f8bcdfce6d10372","a3d80cc537413b3521edb2e45067a340","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 12 spaces but is 10 spaces.","          dir.exists(file.path(candidate, ""tests"", ""testthat""))) {",1,31,10,"049","approved_style_debt"
"f9a927227ca243d1e467ca16224f62a5","8481fad8670c40a3054e4fe94b325b2f","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      !dir.exists(file.path(root, ""tests"", ""testthat""))) {",1,38,6,"049","approved_style_debt"
"368f570f47c9647f81f42849f1897fee","d154165c6fcf5f77901f207d9013571d","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      !identical(budget$gate_wired, timing_budget$gate_wired[wired_order])) {",1,302,6,"049","approved_style_debt"
"b206b4cdaa987cd4e2c08145d7d663c5","0d9f475e0512c12702ec12eafb387e2d","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      !identical(sort(timing_baseline$path), sort(taxonomy$path))) {",1,307,6,"049","approved_style_debt"
"6e89c6161eb1ce874a6eb6888088aa54","995a4462f3f89b07e8bf7f9ca1d43808","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      !is.finite(repeats_number) || is.na(repeats_integer) ||",1,666,6,"049","approved_style_debt"
"4c23204e6d530656863bb5f386e33080","c84a3ecda142a1bbf5a4a0072db45dbe","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      !is.finite(wall_seconds) || wall_seconds < 0 ||",1,563,6,"049","approved_style_debt"
"75c0c390a2df13d57b55c0ad97280422","bf794ee8c5a217f8a0f402b18bace803","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      any(!budget$gate_wired %in% c(TRUE, FALSE))) {",1,274,6,"049","approved_style_debt"
"3579a6df898578732b836c485c70018a","1d72c9d234a26561fa7797e2ceb102fb","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      any(!timing_budget$gate_wired %in% c(TRUE, FALSE))) {",1,297,6,"049","approved_style_debt"
"37961cec1962e605a7d4985f22aa1e8a","b379717b05d172025269c90addf527f1","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      any(baseline_blocks != as.integer(baseline_blocks))) {",1,317,6,"049","approved_style_debt"
"03acbc2f3e79a0ae3e9a67ba671cc167","c8a4846bb2f0c662ada2b2b28a5c6f12","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      any(baseline_expectations != as.integer(baseline_expectations))) {",1,321,6,"049","approved_style_debt"
"af8d735245b2ea712a28511be2acd3e2","ee9c4b18383738727730cfd852fe43c6","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      any(budget$allowed_skip_ids[ordinary] != ""none"")) {",1,327,6,"049","approved_style_debt"
"6fbc4393c61dd08adf075fc853ef49b0","3f04c4a758ed1eefe977b5c10077402c","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      any(numeric_skips != as.numeric(budget$expected_skips))) {",1,267,6,"049","approved_style_debt"
"7324977a7c849d644b5d0698db80ed2b","b78a200f7aee71cdc30c0b1129a0c14a","indentation_linter","inst/scripts/audit-test-budget.R","Indentation should be 8 spaces but is 6 spaces.","      anyDuplicated(timing_budget$profile)) {",1,279,6,"049","approved_style_debt"
"7a4031c005610a82c92717b1f3dbf55e","dc975490d33059d878745f26adfa243d","line_length_linter","inst/scripts/build-alprek-subset.R","Lines should not be more than 120 characters. This line is 130 characters.","  sprintf(""- inst/extdata/alprek_subset_counts.rds: %s rows, %s columns"", nrow(alprek_subset_counts), ncol(alprek_subset_counts)),",1,363,121,"049","approved_style_debt"
"72d05284bd19eb2bbc90050b6fba5497","95228577f00b3b24e6326b5a58985f24","indentation_linter","R/aggregates.R","Indentation should be 8 spaces but is 6 spaces.","      !is.numeric(suppressed_n_bound) ||",1,489,6,"049","approved_style_debt"
"31c8e6840e8d63bb013af011d078e3d0","44e5caa8c20dd02db9e4fa63afd4f331","indentation_linter","R/aggregates.R","Indentation should be 8 spaces but is 6 spaces.","      length(sampling_relation) != 1L ||",1,119,6,"049","approved_style_debt"
"bd0b31e9fb2aa4ed7430369f65cfed5a","e58027a9273c851e35d975d5a775c7c4","indentation_linter","R/aggregates.R","Indentation should be 8 spaces but is 6 spaces.","      length(sampling_relation) > 1L &&",1,114,6,"049","approved_style_debt"
"b54cb2b27ef08952f1d736e745221e6d","cfc7014b4b6d2b8e40fe28e99478acb7","line_length_linter","R/aggregates.R","Lines should not be more than 120 characters. This line is 122 characters.","  if (!is.character(id_cols) || length(id_cols) != 2L || anyNA(id_cols) || any(id_cols == """") || anyDuplicated(id_cols)) {",1,85,121,"049","approved_style_debt"
"5f5037ed4fe2e94fbf983cdb2d23a2df","0d7607956c443eb174edf914defb7867","line_length_linter","R/aggregates.R","Lines should not be more than 120 characters. This line is 125 characters.","  if (!is.character(aggregate_case) || length(aggregate_case) != 1L || is.na(aggregate_case) || !aggregate_case %in% valid) {",1,99,121,"049","approved_style_debt"
"40cfc4b3303e2306114fcfb9734e761d","b53b04dfd65c7752580a7c31b7dd649c","line_length_linter","R/aggregates.R","Lines should not be more than 120 characters. This line is 130 characters.","      .sm_invalid_aggregate_row(x, i, ""`c_jt` cannot exceed `n_jt`."", expected = ""c_jt <= n_jt"", actual = paste0(c_i, "" > "", n_i))",1,446,121,"049","approved_style_debt"
"8e7046f750776dc40cc81212f9475d5e","d1510552cca78609cc4dbb636bc93efd","line_length_linter","R/aggregates.R","Lines should not be more than 120 characters. This line is 139 characters.","    if (!is.character(indicators) || length(indicators) == 0L || anyNA(indicators) || any(indicators == """") || anyDuplicated(indicators)) {",1,327,121,"049","approved_style_debt"
"c118f4e567a1718d1ff9652f6ad2750d","221ceb0a65748d57ff06300c875ac995","line_length_linter","R/aggregates.R","Lines should not be more than 120 characters. This line is 142 characters.","  if (!(is.integer(x) || is.numeric(x)) || any(!is.na(x) & !is.finite(x)) || any(!is.na(x) & x != as.integer(x)) || (!allow_na && anyNA(x))) {",1,592,121,"049","approved_style_debt"
"718bfd71bd21fa50e649df76765ed81b","505473394798031f9c90818068651f54","line_length_linter","R/aggregates.R","Lines should not be more than 120 characters. This line is 153 characters.","  if (!is.character(suppressed_n_strategy) || length(suppressed_n_strategy) != 1L || is.na(suppressed_n_strategy) || !suppressed_n_strategy %in% valid) {",1,167,121,"049","approved_style_debt"
"eb8682b001281220150fb16a3174ff92","22dbb1daaa3fd1e1695375d584141891","indentation_linter","R/engine-aggregate-d0.R","Indentation should be 8 spaces but is 6 spaces.","      (!is.na(framing) && !identical(framing, ""subgroup_as_site""))) {",1,80,6,"049","approved_style_debt"
"bb0f643590c07b616c7916f1c5a3b4f8","624ee5b866c39de660e5a5903077be60","line_length_linter","R/engine-aggregate-d0.R","Lines should not be more than 120 characters. This line is 121 characters.","  if (any(aggregate$flag_suppressed) && identical(suppression, ""upper_bound"") && !identical(estimate_scale, ""arcsine"")) {",1,112,121,"049","approved_style_debt"
"4d23d68aa379ef348988e36bed52e296","efa71a008678aae232eff2da6f4bf1a6","indentation_linter","R/engine-aggregate-d1.R","Indentation should be 8 spaces but is 6 spaces.","      (!is.character(indicators) || length(indicators) < 2L || anyNA(indicators) || any(indicators == """") || anyDuplicated(indicators))) {",1,219,6,"049","approved_style_debt"
